,Academic Courses,Learning Outcomes,Undergraduate Program,Graduate Program,Immersive Experience,Sustainability Literacy Assessment,Incentives for Developing Courses,Campus as a Living Laboratory,Research and Scholarship,Support for Sustainability Research,Open Access to Research,Student Educators Program,Student Orientation,Student Life,Outreach Materials and Publications,Outreach Campaign,Assessing Sustainability Culture,Employee Educators Program,Employee Orientation,Staff Professional Development and Training,Community Partnerships,Inter-Campus Collaboration,Continuing Education,Community Service,Participation in Public Policy,Trademark Licensing,Emissions Inventory and Disclosure,Greenhouse Gas Emissions,Building Design and Construction,Building Operations and Maintenance,Building Energy Efficiency,Clean and Renewable Energy,Food and Beverage Purchasing,Sustainable Dining,Landscape Management,Biodiversity,Sustainable Procurement,Electronics Purchasing,Cleaning and Janitorial Purchasing,Office Paper Purchasing,Campus Fleet,Commute Modal Split,Support for Sustainable Transportation,Waste Minimization and Diversion,Construction and Demolition Waste Diversion,Hazardous Waste Management,Water Use,Rainwater Management,Sustainability Coordination,Sustainability Planning,Inclusive and Participatory Governance,Reporting Assurance,Diversity and Equity Coordination,Assessing Diversity and Equity,Support for Underrepresented Groups,Affordability and Access,Committee on Investor Responsibility,Sustainable Investment,Investment Disclosure,Employee Compensation,Assessing Employee Satisfaction,Wellness Program,Workplace Health and Safety,Bicycle Friendly University,Carbon Mitigation Project Development,Community Garden,External Reporting Assurance,Fair Trade Campus,Food Bank,Green Athletics,Green Event Certification,Green Laboratory Program,Grounds Certification,Network for Student Social Innovation,Online Sustainability Course,Serving Underrepresented Students,Sustainability Projects Fund,Voter Education and Support,Innovation A,Innovation B,Innovation C,Link,Support for Research,Staff Professional Development,Outdoor Air Quality,Building Energy Consumption,Student Commute Modal Split,Employee Commute Modal Split,Participatory Governance,Pre-Submission Review,Sustainability Course Designation,Innovation D,Green Laboratories,Sustainable Dining Certification,Single-Use Plastic Ban,Certified Green Cleaning,Dining Services Certification,Diversity and Equity Recognition,Textbook Affordability,Zero Waste Certification,Wellbeing Certification,Natural Wastewater Systems,Campus Pride Index,Nitrogen Footprint,Adjunct Faculty Compensation,Pest Management Certification,Serving Underrepresented Groups,Social Enterprise,Spend Analysis,Stakeholder Engagement Standard,Stormwater Modeling,Student Living Wage,Sustainability Office Diversity Program,Water Balance,Work College,Full-Time Faculty Employment,Sanctuary Institution,Anchor Institution Network,Pay Scale Equity,NSSE Sustainability Education Consortium,Community Stakeholder Engagement,Hospital Network,Center for Sustainability Across the Curriculum,Academy-Industry Connections,Green Cleaning Certification,Fleet Certification,Laboratory Animal Welfare,Energy System Certification,Campus Water Balance,Health and Safety Management Certification,sum
northwestern university il,4.25,7.01,3,3,2,0,2,4,3.57,4,2,1,2,2,2,4,0.25,3,1,1.5,3,2,2.88,0.97,2,2,2.56,2.75,2.4,2,3.6,0.47,1.39,2,1,0.5,3,0.73,0.95,0.11,0.25,3.94,1,2.91,0.92,1,4,2,1,3,1.88,1,1.56,1,3,3,2,0.54,0,0.75,0.7,0.75,1.81,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/northwestern-university-il/report/2020-03-06/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.9
university of louisville ky,5.64,1.17,3,3,2,1,2,4,7.22,0,0,4,2,2,2,4,0.25,3,1,0,3,2,1.36,4.65,2,0,0,4.91,1.98,0.52,0,0.17,0.59,2,1,2,3,0.46,1,0.37,0.03,0,2,3.23,0.94,1,2.67,2,1,3.75,0,0,1.56,0.5,3,2.79,2,1.6,0.26,0.39,1,1,1.38,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/university-of-louisville-ky/report/2019-02-27/,4,1,1,5.41,0.74,0.32,2.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.61
wilfrid laurier university on,14,0.64,3,3,2,4,0,4,12,0,0,0.79,2,2,2,4,1,0,1,0,3,3,2,3.52,2,0,0,6.27,1.45,0.5,0,0.01,0.48,2,2,0,1.25,1,0.68,0.39,0.07,0,2,4.54,1,1,1.53,1,1,3.5,0,0,1.33,0.63,2,1,2,0,0,0.69,1,1,0.85,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/wilfrid-laurier-university-on/report/2019-01-16/,2,1.5,1,4.45,1.55,0.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.52
bard college ny,11.89,3.19,3,3,2,1,2,4,9.78,3,0.67,3.39,1.9,2,2,4,0.5,0.77,1,1.25,2,3,2,2.98,2,0,2,4.36,0.63,1,3.21,0.25,0.9,1.8,1.51,2,2.5,1,0.9,0.4,0.07,3.01,1,4.19,0.16,1,3.02,2,1,1.5,1.38,0,1.33,1,1.92,2.11,1.5,0.75,0,1.52,0,0.75,0.76,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,https://reports.aashe.org/institutions/bard-college-ny/report/2020-06-08/,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.5
binghamton university ny,5.01,4.29,3,3,2,0,2,4,12,4,2,2.17,2,2,2,4,0,0,0.3,2,3,2.5,5,2.09,0.67,2,2.46,5.27,1.89,0,3.31,0.96,0.93,2,1.34,2,1.75,0.57,0.44,0.2,0.27,2.76,1,4.23,0.56,1,3.93,0.5,1,3,2.38,0,1.44,0,3,3,0,0,0,2.25,0.23,1,0.98,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,https://reports.aashe.org/institutions/binghamton-university-ny/report/2020-03-05/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.43
northland college wi,14,8,3,0,2,4,2,4,12,3,0,2.59,2,2,2,4,0,0,1,1.5,3,2.5,3,0,2,0,1.67,3.58,1.25,0,4.96,0.04,1.88,2,1.53,2,1.75,0.71,0.87,0,0.18,0,0.6,2.69,1,1,4,2,1,2,1.38,0,1.89,0,0.58,2.51,2,0.75,0,1.25,1,0.75,0.96,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,https://reports.aashe.org/institutions/northland-college-wi/report/2021-02-26/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.37
university of texas at austin tx,9.38,3.09,3,3,2,2,2,4,9.22,3,0.67,2.52,1.16,2,2,4,0.5,1.58,1,1,3,2.5,2,3.05,0.67,2,1.25,2.31,2.27,2,4.22,0,1.16,2,1.93,0,2.5,0.95,0.91,0.26,0.31,3.5,0.6,3.05,0.92,1,3.74,1,1,3,1.38,0,1.67,0.75,3,3,0,0,0.75,0.45,1,1,1.09,0,0,0.5,0,0,0.5,0.25,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0,https://reports.aashe.org/institutions/university-of-texas-at-austin-tx/report/2020-03-02/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,129.31
university of oregon or,11.3,2.53,3,3,2,0,2,4,11.5,4,1.67,2.45,1.8,2,1.6,4,0,0.35,1,1,3,2.5,1.15,0.81,2,0,2.63,5.73,2.29,1,2.64,1.44,1.49,2,1,1,2.25,0.64,0.34,0.29,0.41,4.08,0.8,3.83,0.83,1,0.01,2,1,2.5,3,0,1.89,0.75,3,2.68,0,0.81,0,0.78,0.38,1,0.88,0.25,0,0,0,0,0.5,0,0,0.25,0.5,0,0,0,0.5,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/university-of-oregon-or/report/2020-03-06/,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,129.28
belmont university tn,11.61,2.33,3,3,2,0,2,4,12,0,0,4,2,2,2,4,0,3,1,0,3,1.5,5,2.39,0.67,2,0,4.05,1.51,0.3,0,0,0,1.75,0.13,1,1.5,0.97,0.58,0.09,0.41,0,1.4,3.19,0.4,1,1.33,0.5,1,0,0,0,1.89,1,3,2.81,0,4,0,1.8,1,1,1.04,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/belmont-university-tn/report/2019-02-26/,3,1.25,1,5.16,1.06,0.33,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.2
columbia university ny,3.49,3.49,3,3,2,2,2,4,11.1,0,2,4,2,2,2,4,0,3,1,0,2,3,5,0.52,2,2,0,5.46,1.08,0.5,0,0.11,3,2,1,0,2.25,0.78,0.37,0.23,0.46,0,2,2.65,0.93,1,0,0.5,1,3.25,0,0,1.89,0.5,2.92,3.88,2,1.33,0,0,1,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/columbia-university-ny/report/2018-08-29/,4,2,0.5,1.97,1.97,1.81,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.02
connecticut college ct,10.59,5.25,3,0,2,4,2,4,10.65,2,2,4,1.96,2,1.6,4,1,0,0.66,0,3,2.5,0,1.89,1.33,0,2.63,3.82,0.63,1,3.28,0,1.3,1.63,1.89,2,1.25,0.8,0.87,0.4,0,3.74,0.8,4.88,0.56,1,2.62,0.5,1,4,1.5,1,2,1,2.92,3,0,0.39,0,0.18,0,0.75,1.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,https://reports.aashe.org/institutions/connecticut-college-ct/report/2021-06-18/,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.02
fleming college on,13.72,4.45,3,1.5,2,0,2,4,12,0,1,4,2,2,2,4,1,0,0.52,0,3,3,5,0.44,2,0,0,4.98,1.25,2,0,0,0.15,2,0,2,1.5,1,1,0.79,0,0,2,3.69,0,1,0.72,0.5,1,2.5,0,0,1.44,0.25,2,2.55,0,1.08,0,1.02,1,1,1.14,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/fleming-college-on/report/2019-08-23/,4,1,0.5,2.73,1.14,0.2,2.25,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.01
mohawk college on,9.66,2.37,3,0,2,4,0,4,12,0,0,4,2,2,2,4,1,0,1,0,3,3,5,0.84,1.33,0,0,8.19,1.15,1.5,0,0,2.72,2,1.03,2,0,0.98,0,0.4,0.25,0,2,4.73,0,1,1.87,2,1,4,0,0,1.56,0.25,2,1.94,0,0,0,0.57,0.92,1,1.16,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/mohawk-college-on/report/2019-01-22/,3,1.75,0.5,2.75,1.4,0.86,1.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.93
bowdoin college me,14,1.57,3,0,2,0,0,4,12,0,1,4,2,1.75,2,4,0,0.3,1,0,2,3,0,5,2,2,0,9.83,2.24,0,0,1.13,1.07,2,1.15,2,1.5,0.99,0.89,0.78,0.29,0,1.8,1.58,0.78,1,0.98,2,1,2.5,0,0,1.44,1,3,3.34,0,0,0,1.12,0,1,1.18,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/bowdoin-college-me/report/2019-02-28/,3,0,1,3.57,1.9,0.46,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.89
lehigh university pa,6.11,4.91,3,3,2,2,2,4,7.71,3,1.33,2.86,2,2,2,4,0.5,1.05,1,2,3,2.5,2,2.86,0.67,2,3,3.21,1.9,2,3.31,0.49,2.16,2,1.8,0.5,2,0.42,0.92,0.55,0.06,3.87,1,2.33,0.81,1,1.53,1,1,4,1.13,1,1.56,1,3,3,0,0,0,1.17,1,0.75,0.84,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,https://reports.aashe.org/institutions/lehigh-university-pa/report/2021-02-26/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.81
clarkson university ny,12.14,5.39,3,3,2,2,2,4,12,0,0,1.96,1.63,2,2,4,0.5,1.16,1,0,3,3,3,0.97,2,0,0,5.47,1.25,0.19,0,0.12,0.27,2,1.97,2,2,1,0.56,1,0.02,0,1.6,2.8,0.5,0.5,1.17,1,1,4,0,0,1.44,0.75,2.75,3.12,0,1.23,0,0.18,0.17,0.33,0.1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/clarkson-university-ny/report/2019-02-22/,3,1.25,0.5,3.64,1.42,0.16,1.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.71
university of minnesota duluth mn,9.48,7.25,3,3,2,1,0,4,12,0,2,1.52,2,2,2,4,0.25,0,1,0,3,3,2,0.92,0,2,0,3.86,1.72,2,0,0,0.08,1.75,0.45,2,2.25,0,0.86,0,0.25,0,1.8,3.42,0.83,1,1.75,2,1,3.25,0,0,1.44,1,2.33,1.75,2,1.38,0,1.78,0.72,1,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/university-of-minnesota-duluth-mn/report/2019-11-04/,4,1.25,1,3.7,1.2,0.32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.63
bucknell university pa,9.6,7.85,3,3,2,0,2,4,10.73,0,2,0.72,2,2,2,4,0,0,1,0,3,3,2.5,1.7,2,0,0,4.89,1.36,0.9,0,0.13,0.94,1.88,1,2,1,0,0.83,0.8,0.02,0,1.8,3.43,0.88,1,2.31,1,1,3.5,0,0,1.33,1,3,3.42,0.5,2.83,0,1.5,0,1,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/bucknell-university-pa/report/2019-09-23/,2,1.25,0.5,3.29,1.52,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.42
wellesley college ma,8.29,0.27,3,0,2,4,2,4,8.62,0,2,4,2,2,2,4,1,3,1,0,3,2.5,3,0.82,2,2,0,4.23,0.9,0.5,0,0.04,1,2,1.49,2,2.5,1,0.6,0.36,0.18,0,2,1.78,0.79,1,4.51,2,1,3.75,0,0,1.67,1,1.5,2.18,2,0.84,0,1.71,0.5,1,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/wellesley-college-ma/report/2018-11-13/,3,1.25,1,2.42,1.96,0.39,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.13
george mason university va,6.93,6.71,3,3,2,0,2,4,12,4,2,1.74,2,2,2,4,0,0,1,1.25,3,2,0.81,1.54,2,2,2.29,3.99,1.5,1,4.43,0,1.67,2,0.97,0,3,0.47,0.94,0.44,0.37,1.55,1,2.55,0.95,1,4.26,2,1,2.5,2.75,1,1.78,0,2,2.51,0,0,0,0,1,0.75,1.48,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.5,https://reports.aashe.org/institutions/george-mason-university-va/report/2021-01-08/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.13
babson college ma,13.48,7.77,3,0,2,0,2,4,12,0,1,2.51,0,2,2,4,0,3,1,0,3,3,2.5,1.78,0.67,0,0,7.15,1.68,0,0,0.1,0.25,2,0.46,2,1.75,1,0.76,0.78,0.13,0,1.8,3.89,0.86,1,3.35,1,1,1.5,0,0,1.67,0.5,2.92,3.56,0,0,0,0.85,1,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/babson-college-ma/report/2018-03-30/,3,1.25,0,3.75,1.43,0.15,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.05
university of colorado at colorado springs co,8.33,6.34,3,3,2,2,2,4,7.06,4,0,2.03,2,2,2,4,0.25,1.64,0.66,1.25,3,3,3.44,1.51,2,2,2.38,3.29,2.17,1,4.75,0.04,0.59,2,0.01,2,2.75,0.46,0.67,0.4,0.13,0.67,1,4.26,0.77,1,2.35,2,1,3,2.25,1,1.56,0,2,1.99,0,0.91,0,1.34,0.59,0.75,0.35,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,https://reports.aashe.org/institutions/university-of-colorado-at-colorado-springs-co/report/2021-02-15/,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.94
central michigan university mi,6.44,3.77,3,3,2,4,2,4,10.49,4,0.67,3.3,2,2,2,4,0.5,1.67,1,1.75,3,3,2,2.94,2,1,1.85,3.4,1.63,1,3.42,0.11,1.24,1.8,0.41,2,2.5,0.6,0.87,0,0,3.05,0.4,2.75,0.72,1,2.69,1,1,3,1.5,1,2,1,1.58,2.57,0,0,0,0,1,1,0.8,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,https://reports.aashe.org/institutions/central-michigan-university-mi/report/2020-10-15/,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.92
california state university channel islands ca,9.39,0.93,3,0,2,0,2,4,11.63,4,1.33,0,2,1.75,2,4,0,0,1,1.25,3,2.5,3.95,1.49,1.33,0,1.56,5.57,2.02,2,4.91,0,1.83,1.55,1.93,2,2.5,0.72,0.8,0.41,0.69,2.34,1,3.66,0,1,4.47,2,1,4,2,0,2,1,2.67,2.22,0.5,0.75,0,0,0.41,1,0.63,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0,https://reports.aashe.org/institutions/california-state-university-channel-islands-ca/report/2020-03-06/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,127.69
nui galway,8.74,0.67,3,3,2,2,2,4,12,3,2,3.53,2,1.75,2,4,1,0,1,1.25,3,3,4.91,0.51,2,0,1.88,4.45,3,2.5,3.11,0.08,0,1.75,0.5,2,0,1,0.78,1,0.11,3.92,0.8,1.75,0,1,1.28,1,1,4,3,1,1.33,1,1.25,1.51,0,0.5,0,2.5,0.32,0.75,1.27,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,https://reports.aashe.org/institutions/nui-galway/report/2021-07-30/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,127.2
ithaca college ny,12.54,4,3,0,2,4,0,4,11.22,0,0,4,1.98,2,2,4,1,0,0,0,3,3,0,2.84,2,0,0,7.72,2.98,1.4,0,1.56,0,2,0.13,2,1.5,0.92,1,0.03,0.02,0,1.8,3.96,0,1,0.41,0.5,1,3,0,0,1.44,0.5,3,3.07,0,1.92,0,0.75,1,1,0.73,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/ithaca-college-ny/report/2019-11-25/,3,1.5,0.5,4.03,0.5,0.21,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.16
fanshawe college on,11.29,5.85,3,1.5,2,0,0,4,12,0,1,4,2,2,2,4,0,0,0,0,3,3,3.87,2.67,0,0,0,6.94,1.33,2,0,0.01,0,1.75,1.25,2,1.5,1,0.63,0.06,0.08,0,1.6,3.9,1,1,2.81,1,1,1,0,0,1.33,0.5,2,3.68,0,0,0,1.35,1,1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/fanshawe-college-on/report/2018-11-30/,3,1.25,0.5,3.14,1.55,0.23,2.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.12
university of texas at dallas tx,7.04,3.98,3,3,2,4,2,4,12,0,0,4,2,2,2,4,1,3,1,0,3,3,0,2.21,0,0,0,3.75,1.21,1.5,0,0.02,0,2,1,1,2,0.41,0.77,0.09,0.4,0,2,3.01,0.78,0.5,2.43,2,1,3.75,0,0,2,1,3,3.16,0,0,0,0.49,0,1,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/university-of-texas-at-dallas-tx/report/2019-09-11/,2,1.25,1,6,1.11,0.03,1.75,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.03
denison university oh,11.16,0.92,3,0,2,0,2,4,9.78,0,0,3.08,2,2,2,4,0.25,0,0.8,0,3,3,3,3.4,2,0,0,6.27,2.5,1.5,0,0.21,1.66,2,1.55,1,2.25,0.89,0.68,0.33,0.01,0,1.8,2.11,0.86,1,2.46,1,1,4,0,0,1.78,0.75,3,3.65,0,0.02,0,0.38,1,1,1.14,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/denison-university-oh/report/2019-02-28/,2,1,1,3.84,2,0.5,2,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.03
polytechnique montreal qc,14,4.31,1.5,3,2,2,0,2,12,0,0,4,2,1.5,2,4,0.5,0,1,0,2,3,3,0,0.67,0,0,7.28,0,1,0,0,0.35,1.25,2,2,2,0,0.32,0.42,0,0,1.6,4.8,0.85,1,4,0.5,1,4,0,0,1.44,0,1.33,1,0.5,1,0,2.25,1,1,1.21,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/polytechnique-montreal-qc/report/2019-06-03/,3,0,0.5,4.41,1.84,1.44,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.52
skidmore college ny,13.49,4.1,3,0,2,0,2,4,10.71,4,1.33,4,2,2,2,4,0.5,0,0.52,0,3,2.5,0,1.74,2,0,1.77,5.6,0.87,0,4.52,1.84,1.2,2,0.95,0.5,2.25,0.56,0.93,0.57,0.33,3.48,1,2.42,0.63,1,0,1,1,4,1.5,1,2,1,3,3,0,1.34,0,0,1,1,0.77,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0.5,https://reports.aashe.org/institutions/skidmore-college-ny/report/2021-05-30/,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.42
hampshire college ma,11.34,0.86,3,0,2,0,2,4,12,0,0,4,2,2,1.75,4,0,0,1,0,3,3,0,3.5,0,0,0,7.07,1.11,0.34,0,0,1.75,2,1.06,2,0.75,0.96,0.5,0.97,0.05,0,2,2.28,0.8,1,6,0.5,1,3.75,0,0,1.67,0,2.83,2.29,2,3.71,0,1.86,0,1,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/hampshire-college-ma/report/2018-03-30/,4,1.25,1,3.31,1.32,0.17,1.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,126.4
university of richmond va,8.73,1.07,3,0,2,0,2,4,11.87,0,1,3.2,1.59,2,2,4,1,0.16,1,0,3,3,2.63,3.41,2,0,0,5.95,2.11,1,0,0.21,0.14,2,1,2,2.25,1,0.75,0.4,0.23,0,2,2.47,0.9,1,2.3,1,1,4,0,0,1.67,0.88,3,3.64,0,0,0,0.72,1,1,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/university-of-richmond-va/report/2019-03-01/,4,1.5,1,3.81,1.55,0.17,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.05
national tsing hua university no state,9.61,6.64,3,3,2,2,2,4,10,4,1.33,1.42,2,2,2,4,0.5,0,1,1.25,3,3,5,0.89,0,1,2.42,3.84,0,0.49,2.24,0.09,0,1.88,1,1,1,0.36,0.98,0.29,0.13,4.25,1,2.45,0,1,0.59,1,1,2,2.25,1,1.33,0.88,2,2.34,1,3,1,0,0.5,0.75,1.93,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/national-tsing-hua-university-no-state/report/2021-10-29/,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,125.38
